,cate,cate_flag,price_9,price_8,price_7,price_6,price_5,price_4,price_3,price_2,price_1,amount_7,amount_6,amount_5,amount_4,amount_3,amount_2,amount_1,wt_7,wt_6,wt_5,wt_4,wt_3,wt_2,wt_1,date
677,冬瓜,14,8.062072892938495,6.594365426695843,8.218815123548676,5.524026696329255,9.740659777424485,6.705411585365856,6.497957428509997,7.982937902753369,4.977618243243243,552.1400000000001,496.61,490.15,527.8500000000001,604.4399999999998,1090.15,471.48,67.18,89.9,50.32,78.72,93.02,136.56,94.72,2020-07-26
703,冬瓜,14,6.594365426695843,8.218815123548676,5.524026696329255,9.740659777424485,6.705411585365856,6.497957428509997,7.982937902753369,4.977618243243243,10.776511831726555,496.61,490.15,527.8500000000001,604.4399999999998,1090.15,471.48,491.84,89.9,50.32,78.72,93.02,136.56,94.72,45.64,2020-07-27
729,冬瓜,14,8.218815123548676,5.524026696329255,9.740659777424485,6.705411585365856,6.497957428509997,7.982937902753369,4.977618243243243,10.776511831726555,7.646612313747539,490.15,527.8500000000001,604.4399999999998,1090.15,471.48,491.84,543.98,50.32,78.72,93.02,136.56,94.72,45.64,71.14,2020-07-28
755,冬瓜,14,5.524026696329255,9.740659777424485,6.705411585365856,6.497957428509997,7.982937902753369,4.977618243243243,10.776511831726555,7.646612313747539,5.202951322345727,527.8500000000001,604.4399999999998,1090.15,471.48,491.84,543.98,814.47,78.72,93.02,136.56,94.72,45.64,71.14,156.54,2020-07-29
781,冬瓜,14,9.740659777424485,6.705411585365856,6.497957428509997,7.982937902753369,4.977618243243243,10.776511831726555,7.646612313747539,5.202951322345727,8.645393068469991,604.4399999999998,1090.15,471.48,491.84,543.98,814.47,613.65,93.02,136.56,94.72,45.64,71.14,156.54,70.98,2020-07-30
807,冬瓜,14,6.705411585365856,6.497957428509997,7.982937902753369,4.977618243243243,10.776511831726555,7.646612313747539,5.202951322345727,8.645393068469991,11.785844471445929,1090.15,471.48,491.84,543.98,814.47,613.65,1551.9599999999996,136.56,94.72,45.64,71.14,156.54,70.98,131.68,2020-07-31
833,冬瓜,14,6.497957428509997,7.982937902753369,4.977618243243243,10.776511831726555,7.646612313747539,5.202951322345727,8.645393068469991,11.785844471445929,5.979491173416406,471.48,491.84,543.98,814.47,613.65,1551.9599999999996,690.9899999999999,94.72,45.64,71.14,156.54,70.98,131.68,115.56,2020-08-01
859,冬瓜,14,7.982937902753369,4.977618243243243,10.776511831726555,7.646612313747539,5.202951322345727,8.645393068469991,11.785844471445929,5.979491173416406,6.0119422329198295,491.84,543.98,814.47,613.65,1551.9599999999996,690.9899999999999,649.41,45.64,71.14,156.54,70.98,131.68,115.56,108.02,2020-08-02
885,冬瓜,14,4.977618243243243,10.776511831726555,7.646612313747539,5.202951322345727,8.645393068469991,11.785844471445929,5.979491173416406,6.0119422329198295,5.807969275084014,543.98,814.47,613.65,1551.9599999999996,690.9899999999999,649.41,483.92000000000013,71.14,156.54,70.98,131.68,115.56,108.02,83.32,2020-08-03
911,冬瓜,14,10.776511831726555,7.646612313747539,5.202951322345727,8.645393068469991,11.785844471445929,5.979491173416406,6.0119422329198295,5.807969275084014,6.740366972477063,814.47,613.65,1551.9599999999996,690.9899999999999,649.41,483.92000000000013,587.76,156.54,70.98,131.68,115.56,108.02,83.32,87.2,2020-08-04
